Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAC589YMB,181314,14,1,n/a
NDARAC853CR6,184036,14,1,n/a
NDARAH239PGG,180117,14,1,n/a
NDARAL897CYV,174812,14,1,n/a
NDARAN160GUF,212610,14,1,n/a
NDARAP049KXJ,175886,14,1,n/a
NDARAP457WB5,179586,14,1,n/a
NDARAU939WUK,195660,14,1,n/a
NDARAW216PM7,229007,36,1,n/a
NDARAX075WL9,178236,14,1,n/a
NDARAX722PKY,181740,14,1,n/a
NDARAZ068TNJ,174313,14,1,n/a
NDARBA004KBT,189287,14,1,n/a
NDARBD328NUQ,187138,14,1,n/a
NDARBD992CH7,180413,14,1,n/a
NDARBE719PMB,188260,14,1,n/a
NDARBF042LDM,173063,14,1,n/a
NDARBH019KPD,173540,14,1,n/a
NDARBH728DFK,173385,14,1,n/a
NDARBL170XJX,174565,14,1,n/a
NDARBM370JCB,229734,14,1,n/a
NDARBP398JHL,174164,14,1,n/a
NDARBR533KJZ,250385,14,1,n/a
NDARBU183TDJ,257788,14,1,n/a
NDARBW268XPY,208013,14,1,n/a
NDARBW971DCW,184061,14,1,n/a
NDARBZ444ZHK,313026,14,1,n/a
NDARCB305AFY,175338,14,1,n/a
NDARCC620ZFT,186010,14,1,n/a
NDARCD182XT1,218936,14,1,n/a
NDARCD453JG4,181158,14,1,n/a
NDARCE162VRB,184940,14,1,n/a
NDARCK113CJM,252247,14,1,n/a
NDARCL253KU1,182139,14,1,n/a
NDARCP073AFY,179460,14,1,n/a
NDARCP452ZVH,175739,14,1,n/a
NDARCT277WK9,205325,30,1,n/a
NDARCW058DP8,NaN,NaN,0,n/a
NDARCX021XWF,174391,14,1,n/a
NDARDB033FW5,181389,14,1,n/a
NDARDH214UVC,177735,14,1,n/a
NDARDH220WVH,NaN,NaN,0,n/a
NDARDK794WV3,179311,14,1,n/a
NDARDL377ZT7,185464,14,1,n/a
NDARDL389KT5,174439,14,1,n/a
NDARDR103FJQ,219088,14,1,n/a
NDARDR304HHJ,187087,14,1,n/a
NDARDU314YVY,228608,14,1,n/a
NDARDX173WLD,185962,14,1,n/a
NDAREA730YXX,345898,14,1,n/a
NDAREG350WZ4,179289,14,1,n/a
NDAREL0366HL,173139,14,1,n/a
NDAREL767XXM,NaN,NaN,0,n/a
NDAREP061MTY,218885,14,1,n/a
NDARET484TTP,191240,14,1,n/a
NDAREU890CYJ,175237,14,1,n/a
NDAREW557WZM,181538,14,1,n/a
NDAREW594DC5,NaN,NaN,0,n/a
NDARFA358RJJ,180914,14,1,n/a
NDARFB146TG0,174341,14,1,n/a
NDARFC694PW2,198962,14,1,n/a
NDARFJ372JDJ,NaN,NaN,0,n/a
NDARFJ488VPT,175585,14,1,n/a
NDARFN636ZYB,188014,14,1,n/a
NDARFP841PDJ,184438,14,1,n/a
NDARFR445XKP,175211,14,1,n/a
NDARFR601RDQ,287108,14,1,n/a
NDARFT698LLU,183311,14,1,n/a
NDARGC157LYY,177591,14,1,n/a
NDARGC407NV7,179537,14,1,n/a
NDARGE643MYU,171686,14,1,n/a
NDARGG058DYF,176338,14,1,n/a
NDARGG423UMK,NaN,NaN,0,n/a
NDARGJ392ACY,177739,14,1,n/a
NDARGJ653MG2,174114,14,1,n/a
NDARGM240YJM,204363,14,1,n/a
NDARGU126KC2,178539,14,1,n/a
NDARGV455JV1,207337,14,1,n/a
NDARGW180RV4,177088,14,1,n/a
NDARGX161LRM,262931,14,1,n/a
NDARGY559UL3,172639,14,1,n/a
NDARGY639ANB,175739,14,1,n/a
NDARHB261JMG,187261,14,1,n/a
NDARHC426PAW,175113,14,1,n/a
NDARHD546PDX,181086,14,1,n/a
NDARHE772FWW,190635,14,1,n/a
NDARHE896MYM,175764,14,1,n/a
NDARHF854JX7,184890,14,1,n/a
NDARHM282EJ4,173739,14,1,n/a
NDARHN386FXX,182713,14,1,n/a
NDARHR484PZP,304906,14,1,n/a
NDARHR690ZAM,180063,14,1,n/a
NDARHT403JJJ,187114,14,1,n/a
NDARHT524ET0,175962,14,1,n/a
NDARHV260FPW,183114,14,1,n/a
NDARHV358ZCU,NaN,NaN,0,n/a
NDARHV423JV3,NaN,NaN,0,n/a
NDARHV885JFU,203513,14,1,n/a
NDARHW808VDT,178212,14,1,n/a
NDARJA356XHT,178887,14,1,n/a
NDARJD704KEM,180991,14,1,n/a
NDARJH773JTJ,177661,14,1,n/a
NDARJJ173BRX,315882,14,1,n/a
NDARJJ345VHW,195684,14,1,n/a
NDARJK995KMG,184939,14,1,n/a
NDARJL025LWZ,176411,14,1,n/a
NDARJR437DJH,179789,14,1,n/a
NDARJW888AJ2,174139,14,1,n/a
NDARJW989EM6,178762,14,1,n/a
NDARKB712GAP,175482,14,1,n/a
NDARKH168MC1,172514,14,1,n/a
NDARKL053DWW,222035,14,1,n/a
NDARKM805EFA,177736,14,1,n/a
NDARKM823HJ7,NaN,NaN,0,n/a
NDARKR391CMV,172861,14,1,n/a
NDARLC770YL9,267360,14,1,n/a
NDARLE282UHJ,174312,14,1,n/a
NDARLJ472DLM,176360,14,1,n/a
NDARLK690ZK9,29749,2,1,n/a
NDARLL181EGQ,173613,14,1,n/a
NDARLL572UP2,215655,14,1,n/a
NDARLM877UZM,174662,14,1,n/a
NDARLR586MPX,173640,14,1,n/a
NDARLY465LNP,173564,14,1,n/a
NDARLY867ZD4,199012,14,1,n/a
NDARMA629XDR,180061,14,1,n/a
NDARMD987YR6,184761,14,1,n/a
NDARMK046ZRK,180464,14,1,n/a
NDARMK100DJR,274056,14,1,n/a
NDARMT575KF6,236695,45,1,n/a
NDARMU280FXT,175335,14,1,n/a
NDARMZ936WYB,227336,14,1,n/a
NDARNA055LLN,176941,14,1,n/a
NDARNB032ZLC,82745,2,1,n/a
NDARNB738TM9,174462,14,1,n/a
NDARNC287MK5,337886,75,1,n/a
NDARNH170TJU,206309,14,1,n/a
NDARNH285EWA,176163,14,1,n/a
NDARNH766CU7,185584,14,1,n/a
NDARNJ950EFG,NaN,NaN,0,n/a
NDARNM838ABN,182763,14,1,n/a
NDARNN042YCH,180538,14,1,n/a
NDARNT277FMR,173265,14,1,n/a
NDARNX477HZ4,177341,14,1,n/a
NDARNX562GP3,212086,14,1,n/a
NDARNZ433DDH,188213,14,1,n/a
NDARPD572XRC,245956,14,1,n/a
NDARPE623MBW,186514,14,1,n/a
NDARPE838DC5,77244,2,1,n/a
NDARPF362VH8,185964,14,1,n/a
NDARPH105ZFF,209438,14,1,n/a
NDARPK337CLE,203111,14,1,n/a
NDARPL440BX5,175790,14,1,n/a
NDARPL651MD5,180540,14,1,n/a
NDARPM172XGD,235587,14,1,n/a
NDARPR799VX4,213011,14,1,n/a
NDARPT417LW6,185740,14,1,n/a
NDARPU981GWF,433371,77,1,n/a
NDARPV412JEN,175389,14,1,n/a
NDARPW746FWF,173814,14,1,n/a
NDARPX661BF1,188762,14,1,n/a
NDARPY302MV9,179738,14,1,n/a
NDARRL379BET,188664,14,1,n/a
NDARRR464UTB,254357,14,1,n/a
NDARRR633WLE,175261,14,1,n/a
NDARRW481GFE,174586,14,1,n/a
NDARRW536ZM2,175089,14,1,n/a
NDARRX138MLG,NaN,NaN,0,n/a
NDARRY792KY1,176738,14,1,n/a
NDARTA920XFC,179464,14,1,n/a
NDARTB003FDD,172989,14,1,n/a
NDARTE553VC1,222736,14,1,n/a
NDARTF079JGU,196315,14,1,n/a
NDARTK524HRR,180013,14,1,n/a
NDARTK667PGK,172814,14,1,n/a
NDARTL878RZ2,201284,14,1,n/a
NDARTP307VUC,NaN,NaN,0,n/a
NDARTV480WBU,195664,14,1,n/a
NDARTW567YUQ,192764,14,1,n/a
NDARUB119BLT,161015,14,1,n/a
NDARUE605HGP,225210,14,1,n/a
NDARUF170ABA,173813,14,1,n/a
NDARUF850XKH,177513,14,1,n/a
NDARUH536DUK,196534,14,1,n/a
NDARUL160DMT,173583,14,1,n/a
NDARUL290YKN,174937,14,1,n/a
NDARUL636NGK,174612,14,1,n/a
NDARUL694GYN,182386,14,1,n/a
NDARUM721FCJ,174512,14,1,n/a
NDARUT880HVY,177838,14,1,n/a
NDARUU314RH7,201136,14,1,n/a
NDARUU939VRT,173113,14,1,n/a
NDARUX187JTB,176187,14,1,n/a
NDARUX911VE1,196261,14,1,n/a
NDARUY024RVP,183289,14,1,n/a
NDARUY825AKX,191411,14,1,n/a
