Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAC589YMB,114172,181,1,n/a
NDARAC853CR6,115885,77,1,n/a
NDARAH239PGG,134219,147,1,n/a
NDARAL897CYV,124335,78,1,n/a
NDARAN160GUF,160971,83,1,n/a
NDARAP049KXJ,123538,75,1,n/a
NDARAP457WB5,133866,80,1,n/a
NDARAU939WUK,137600,90,1,n/a
NDARAW216PM7,185712,82,1,n/a
NDARAX075WL9,116287,78,1,n/a
NDARAX722PKY,NaN,NaN,0,n/a
NDARAZ068TNJ,116219,78,1,n/a
NDARBA004KBT,141864,73,1,n/a
NDARBD328NUQ,116716,79,1,n/a
NDARBD992CH7,142131,78,1,n/a
NDARBE719PMB,121967,77,1,n/a
NDARBF042LDM,117164,77,1,n/a
NDARBH019KPD,155313,78,1,n/a
NDARBH728DFK,129107,80,1,n/a
NDARBL170XJX,99861,78,1,n/a
NDARBM370JCB,122245,77,1,n/a
NDARBP398JHL,249191,82,1,n/a
NDARBR533KJZ,118614,81,1,n/a
NDARBU183TDJ,151452,76,1,n/a
NDARBW268XPY,169228,77,1,n/a
NDARBW971DCW,178104,90,1,n/a
NDARBZ444ZHK,121097,76,1,n/a
NDARCB305AFY,120889,75,1,n/a
NDARCC620ZFT,237411,76,1,n/a
NDARCD182XT1,126604,79,1,n/a
NDARCD453JG4,154440,73,1,n/a
NDARCE162VRB,177652,74,1,n/a
NDARCK113CJM,123620,101,1,n/a
NDARCL253KU1,NaN,NaN,0,n/a
NDARCP073AFY,NaN,NaN,0,n/a
NDARCP452ZVH,192206,83,1,n/a
NDARCT277WK9,120186,76,1,n/a
NDARCW058DP8,194439,78,1,n/a
NDARCX021XWF,118170,81,1,n/a
NDARDB033FW5,119538,80,1,n/a
NDARDH214UVC,137883,76,1,n/a
NDARDH220WVH,136084,101,1,n/a
NDARDK794WV3,118389,76,1,n/a
NDARDL377ZT7,NaN,NaN,0,n/a
NDARDL389KT5,134211,76,1,n/a
NDARDR103FJQ,NaN,NaN,0,n/a
NDARDR304HHJ,118195,77,1,n/a
NDARDU314YVY,NaN,NaN,0,n/a
NDARDX173WLD,132311,75,1,n/a
NDAREA730YXX,124918,75,1,n/a
NDAREG350WZ4,177984,89,1,n/a
NDAREL0366HL,143728,69,1,n/a
NDAREL767XXM,NaN,NaN,0,n/a
NDAREP061MTY,119003,74,1,n/a
NDARET484TTP,135308,77,1,n/a
NDAREU890CYJ,NaN,NaN,0,n/a
NDAREW557WZM,117271,76,1,n/a
NDAREW594DC5,136963,78,1,n/a
NDARFA358RJJ,122187,74,1,n/a
