Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAC589YMB,NaN,NaN,0,n/a
NDARAC853CR6,NaN,NaN,0,n/a
NDARAH239PGG,346303,79,1,n/a
NDARAL897CYV,NaN,NaN,0,n/a
NDARAN160GUF,166365,79,1,n/a
NDARAP049KXJ,NaN,NaN,0,n/a
NDARAP457WB5,NaN,NaN,0,n/a
NDARAU939WUK,162363,79,1,n/a
NDARAW216PM7,NaN,NaN,0,n/a
NDARAX075WL9,177887,79,1,n/a
NDARAX722PKY,134839,79,1,n/a
NDARAZ068TNJ,NaN,NaN,0,n/a
NDARBA004KBT,NaN,NaN,0,n/a
NDARBD328NUQ,NaN,NaN,0,n/a
NDARBD992CH7,NaN,NaN,0,n/a
NDARBE719PMB,141788,79,1,n/a
NDARBF042LDM,NaN,NaN,0,n/a
NDARBH019KPD,146714,79,1,n/a
NDARBH728DFK,NaN,NaN,0,n/a
NDARBL170XJX,NaN,NaN,0,n/a
NDARBM370JCB,NaN,NaN,0,n/a
NDARBP398JHL,NaN,NaN,0,n/a
NDARBR533KJZ,NaN,NaN,0,n/a
NDARBU183TDJ,105817,79,1,n/a
NDARBW268XPY,132891,79,1,n/a
NDARBW971DCW,133913,79,1,n/a
NDARBZ444ZHK,NaN,NaN,0,n/a
NDARCB305AFY,NaN,NaN,0,n/a
NDARCC620ZFT,NaN,NaN,0,n/a
NDARCD182XT1,NaN,NaN,0,n/a
NDARCD453JG4,NaN,NaN,0,n/a
NDARCE162VRB,143164,79,1,n/a
NDARCK113CJM,NaN,NaN,0,n/a
NDARCL253KU1,116318,79,1,n/a
NDARCP073AFY,NaN,NaN,0,n/a
NDARCP452ZVH,124318,79,1,n/a
NDARCT277WK9,301969,88,1,n/a
NDARCW058DP8,NaN,NaN,0,n/a
NDARCX021XWF,NaN,NaN,0,n/a
NDARDB033FW5,NaN,NaN,0,n/a
NDARDH214UVC,175684,79,1,n/a
NDARDH220WVH,NaN,NaN,0,n/a
NDARDK794WV3,NaN,NaN,0,n/a
NDARDL377ZT7,NaN,NaN,0,n/a
NDARDL389KT5,NaN,NaN,0,n/a
NDARDR103FJQ,NaN,NaN,0,n/a
NDARDR304HHJ,105493,79,1,n/a
NDARDU314YVY,185913,79,1,n/a
NDARDX173WLD,NaN,NaN,0,n/a
NDAREA730YXX,130643,79,1,n/a
NDAREG350WZ4,157315,79,1,n/a
NDAREL0366HL,266010,79,1,n/a
NDAREL767XXM,125815,79,1,n/a
NDAREP061MTY,113192,79,1,n/a
NDARET484TTP,NaN,NaN,0,n/a
NDAREU890CYJ,NaN,NaN,0,n/a
NDAREW557WZM,153238,79,1,n/a
NDAREW594DC5,NaN,NaN,0,n/a
NDARFA358RJJ,NaN,NaN,0,n/a
NDARFB146TG0,NaN,NaN,0,n/a
NDARFC694PW2,161765,79,1,n/a
NDARFJ372JDJ,NaN,NaN,0,n/a
NDARFJ488VPT,NaN,NaN,0,n/a
NDARFN636ZYB,194613,79,1,n/a
NDARFP841PDJ,NaN,NaN,0,n/a
NDARFR445XKP,NaN,NaN,0,n/a
NDARFR601RDQ,109216,79,1,n/a
NDARFT698LLU,NaN,NaN,0,n/a
NDARGC157LYY,159063,79,1,n/a
NDARGC407NV7,NaN,NaN,0,n/a
NDARGE643MYU,111541,79,1,n/a
NDARGG058DYF,NaN,NaN,0,n/a
NDARGG423UMK,NaN,NaN,0,n/a
NDARGJ392ACY,NaN,NaN,0,n/a
NDARGJ653MG2,NaN,NaN,0,n/a
NDARGM240YJM,172065,79,1,n/a
NDARGU126KC2,NaN,NaN,0,n/a
NDARGV455JV1,NaN,NaN,0,n/a
NDARGW180RV4,158890,79,1,n/a
NDARGX161LRM,NaN,NaN,0,n/a
NDARGY559UL3,NaN,NaN,0,n/a
NDARGY639ANB,141063,79,1,n/a
NDARHB261JMG,147543,79,1,n/a
NDARHC426PAW,175240,79,1,n/a
NDARHD546PDX,NaN,NaN,0,n/a
NDARHE772FWW,NaN,NaN,0,n/a
NDARHE896MYM,NaN,NaN,0,n/a
NDARHF854JX7,153465,79,1,n/a
NDARHM282EJ4,NaN,NaN,0,n/a
NDARHN386FXX,118539,79,1,n/a
NDARHR484PZP,149965,79,1,n/a
NDARHR690ZAM,NaN,NaN,0,n/a
NDARHT403JJJ,NaN,NaN,0,n/a
NDARHT524ET0,145316,79,1,n/a
NDARHV260FPW,105095,79,1,n/a
NDARHV358ZCU,NaN,NaN,0,n/a
NDARHV423JV3,NaN,NaN,0,n/a
NDARHV885JFU,125040,79,1,n/a
NDARHW808VDT,NaN,NaN,0,n/a
NDARJA356XHT,NaN,NaN,0,n/a
NDARJD704KEM,135191,79,1,n/a
NDARJH773JTJ,NaN,NaN,0,n/a
NDARJJ173BRX,NaN,NaN,0,n/a
NDARJJ345VHW,NaN,NaN,0,n/a
NDARJK995KMG,NaN,NaN,0,n/a
NDARJL025LWZ,157786,79,1,n/a
NDARJR437DJH,NaN,NaN,0,n/a
NDARJW888AJ2,NaN,NaN,0,n/a
NDARJW989EM6,NaN,NaN,0,n/a
NDARKB712GAP,NaN,NaN,0,n/a
NDARKH168MC1,NaN,NaN,0,n/a
NDARKL053DWW,NaN,NaN,0,n/a
NDARKM805EFA,NaN,NaN,0,n/a
NDARKM823HJ7,NaN,NaN,0,n/a
NDARKR391CMV,NaN,NaN,0,n/a
NDARLC770YL9,NaN,NaN,0,n/a
NDARLE282UHJ,NaN,NaN,0,n/a
NDARLJ472DLM,140064,79,1,n/a
NDARLK690ZK9,NaN,NaN,0,n/a
NDARLL181EGQ,127789,79,1,n/a
NDARLL572UP2,NaN,NaN,0,n/a
NDARLM877UZM,NaN,NaN,0,n/a
NDARLR586MPX,NaN,NaN,0,n/a
NDARLY465LNP,NaN,NaN,0,n/a
NDARLY867ZD4,NaN,NaN,0,n/a
NDARMA629XDR,NaN,NaN,0,n/a
NDARMD987YR6,NaN,NaN,0,n/a
NDARMK046ZRK,NaN,NaN,0,n/a
NDARMK100DJR,214186,79,1,n/a
NDARMT575KF6,167907,79,1,n/a
NDARMU280FXT,108917,79,1,n/a
NDARMZ936WYB,113718,79,1,n/a
NDARNA055LLN,NaN,NaN,0,n/a
NDARNB032ZLC,NaN,NaN,0,n/a
NDARNB738TM9,NaN,NaN,0,n/a
NDARNC287MK5,175304,79,1,n/a
NDARNH170TJU,NaN,NaN,0,n/a
NDARNH285EWA,NaN,NaN,0,n/a
NDARNH766CU7,211658,79,1,n/a
NDARNJ950EFG,NaN,NaN,0,n/a
NDARNM838ABN,149841,79,1,n/a
NDARNN042YCH,NaN,NaN,0,n/a
NDARNT277FMR,219062,79,1,n/a
NDARNX477HZ4,NaN,NaN,0,n/a
NDARNX562GP3,NaN,NaN,0,n/a
NDARNZ433DDH,NaN,NaN,0,n/a
NDARPD572XRC,NaN,NaN,0,n/a
NDARPE623MBW,134767,79,1,n/a
