onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
27.906	n/a	13953	seqLearning_start	91	n/a	n/a	8
34.194	n/a	17097	learningBlock_1	31	n/a	n/a	8
34.218	n/a	17109	dot_no1_ON	11	n/a	n/a	8
34.806	n/a	17403	dot_no1_OFF	21	n/a	n/a	8
36.126	n/a	18063	dot_no6_ON	16	n/a	n/a	8
36.714	n/a	18357	dot_no6_OFF	26	n/a	n/a	8
38.036	n/a	19018	dot_no4_ON	14	n/a	n/a	8
38.624	n/a	19312	dot_no4_OFF	24	n/a	n/a	8
39.946	n/a	19973	dot_no2_ON	12	n/a	n/a	8
40.536	n/a	20268	dot_no2_OFF	22	n/a	n/a	8
41.856	n/a	20928	dot_no7_ON	17	n/a	n/a	8
42.446	n/a	21223	dot_no7_OFF	27	n/a	n/a	8
43.766	n/a	21883	dot_no3_ON	13	n/a	n/a	8
44.346	n/a	22173	dot_no3_OFF	23	n/a	n/a	8
45.666	n/a	22833	dot_no8_ON	18	n/a	n/a	8
46.256	n/a	23128	dot_no8_OFF	28	n/a	n/a	8
47.576	n/a	23788	dot_no5_ON	15	n/a	n/a	8
48.156	n/a	24078	dot_no5_OFF	25	n/a	n/a	8
49.476	n/a	24738	dot_no2_ON	12	n/a	n/a	8
50.056	n/a	25028	dot_no2_OFF	22	n/a	n/a	8
51.376	n/a	25688	dot_no7_ON	17	n/a	n/a	8
51.966	n/a	25983	dot_no7_OFF	27	1-6-4-2-7-1-5-3-8-7	1-6-4-2-7-3-8-5-2-7	8
86.568	n/a	43284	learningBlock_2	32	n/a	n/a	8
86.578	n/a	43289	dot_no1_ON	11	n/a	n/a	8
87.166	n/a	43583	dot_no1_OFF	21	n/a	n/a	8
88.488	n/a	44244	dot_no6_ON	16	n/a	n/a	8
89.076	n/a	44538	dot_no6_OFF	26	n/a	n/a	8
90.398	n/a	45199	dot_no4_ON	14	n/a	n/a	8
90.986	n/a	45493	dot_no4_OFF	24	n/a	n/a	8
92.308	n/a	46154	dot_no2_ON	12	n/a	n/a	8
92.886	n/a	46443	dot_no2_OFF	22	n/a	n/a	8
94.208	n/a	47104	dot_no7_ON	17	n/a	n/a	8
94.796	n/a	47398	dot_no7_OFF	27	n/a	n/a	8
96.118	n/a	48059	dot_no3_ON	13	n/a	n/a	8
96.708	n/a	48354	dot_no3_OFF	23	n/a	n/a	8
98.028	n/a	49014	dot_no8_ON	18	n/a	n/a	8
98.618	n/a	49309	dot_no8_OFF	28	n/a	n/a	8
99.938	n/a	49969	dot_no5_ON	15	n/a	n/a	8
100.528	n/a	50264	dot_no5_OFF	25	n/a	n/a	8
101.848	n/a	50924	dot_no2_ON	12	n/a	n/a	8
102.438	n/a	51219	dot_no2_OFF	22	n/a	n/a	8
103.758	n/a	51879	dot_no7_ON	17	n/a	n/a	8
104.338	n/a	52169	dot_no7_OFF	27	1-6-4-2-7-5-3-7-5-1	1-6-4-2-7-3-8-5-2-7	8
128.12	n/a	64060	learningBlock_3	33	n/a	n/a	8
128.128	n/a	64064	dot_no1_ON	11	n/a	n/a	8
128.718	n/a	64359	dot_no1_OFF	21	n/a	n/a	8
130.038	n/a	65019	dot_no6_ON	16	n/a	n/a	8
130.618	n/a	65309	dot_no6_OFF	26	n/a	n/a	8
131.938	n/a	65969	dot_no4_ON	14	n/a	n/a	8
132.518	n/a	66259	dot_no4_OFF	24	n/a	n/a	8
133.838	n/a	66919	dot_no2_ON	12	n/a	n/a	8
134.428	n/a	67214	dot_no2_OFF	22	n/a	n/a	8
135.748	n/a	67874	dot_no7_ON	17	n/a	n/a	8
136.338	n/a	68169	dot_no7_OFF	27	n/a	n/a	8
137.66	n/a	68830	dot_no3_ON	13	n/a	n/a	8
138.248	n/a	69124	dot_no3_OFF	23	n/a	n/a	8
139.568	n/a	69784	dot_no8_ON	18	n/a	n/a	8
140.148	n/a	70074	dot_no8_OFF	28	n/a	n/a	8
141.468	n/a	70734	dot_no5_ON	15	n/a	n/a	8
142.048	n/a	71024	dot_no5_OFF	25	n/a	n/a	8
143.368	n/a	71684	dot_no2_ON	12	n/a	n/a	8
143.948	n/a	71974	dot_no2_OFF	22	n/a	n/a	8
145.268	n/a	72634	dot_no7_ON	17	n/a	n/a	8
145.848	n/a	72924	dot_no7_OFF	27	1-6-4-2-7-3-8-5-7-3	1-6-4-2-7-3-8-5-2-7	8
170.15	n/a	85075	learningBlock_4	34	n/a	n/a	8
170.16	n/a	85080	dot_no1_ON	11	n/a	n/a	8
170.74	n/a	85370	dot_no1_OFF	21	n/a	n/a	8
172.06	n/a	86030	dot_no6_ON	16	n/a	n/a	8
172.64	n/a	86320	dot_no6_OFF	26	n/a	n/a	8
173.96	n/a	86980	dot_no4_ON	14	n/a	n/a	8
174.54	n/a	87270	dot_no4_OFF	24	n/a	n/a	8
175.86	n/a	87930	dot_no2_ON	12	n/a	n/a	8
176.44	n/a	88220	dot_no2_OFF	22	n/a	n/a	8
177.76	n/a	88880	dot_no7_ON	17	n/a	n/a	8
178.34	n/a	89170	dot_no7_OFF	27	n/a	n/a	8
179.66	n/a	89830	dot_no3_ON	13	n/a	n/a	8
180.24	n/a	90120	dot_no3_OFF	23	n/a	n/a	8
181.56	n/a	90780	dot_no8_ON	18	n/a	n/a	8
182.15	n/a	91075	dot_no8_OFF	28	n/a	n/a	8
183.47	n/a	91735	dot_no5_ON	15	n/a	n/a	8
184.05	n/a	92025	dot_no5_OFF	25	n/a	n/a	8
185.37	n/a	92685	dot_no2_ON	12	n/a	n/a	8
185.95	n/a	92975	dot_no2_OFF	22	n/a	n/a	8
187.27	n/a	93635	dot_no7_ON	17	n/a	n/a	8
187.85	n/a	93925	dot_no7_OFF	27	1-6-4-2-7-3-8-6-2-7	1-6-4-2-7-3-8-5-2-7	8
213.382	n/a	106691	learningBlock_5	35	n/a	n/a	8
