onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
37.434	n/a	18717	seqLearning_start	91	n/a	n/a	8
43.726	n/a	21863	learningBlock_1	31	n/a	n/a	8
43.774	n/a	21887	dot_no1_ON	11	n/a	n/a	8
44.362	n/a	22181	dot_no1_OFF	21	n/a	n/a	8
45.68	n/a	22840	dot_no6_ON	16	n/a	n/a	8
46.26	n/a	23130	dot_no6_OFF	26	n/a	n/a	8
47.58	n/a	23790	dot_no4_ON	14	n/a	n/a	8
48.16	n/a	24080	dot_no4_OFF	24	n/a	n/a	8
49.48	n/a	24740	dot_no2_ON	12	n/a	n/a	8
50.06	n/a	25030	dot_no2_OFF	22	n/a	n/a	8
51.38	n/a	25690	dot_no7_ON	17	n/a	n/a	8
51.96	n/a	25980	dot_no7_OFF	27	n/a	n/a	8
53.282	n/a	26641	dot_no3_ON	13	n/a	n/a	8
53.87	n/a	26935	dot_no3_OFF	23	n/a	n/a	8
55.19	n/a	27595	dot_no8_ON	18	n/a	n/a	8
55.77	n/a	27885	dot_no8_OFF	28	n/a	n/a	8
57.092	n/a	28546	dot_no5_ON	15	n/a	n/a	8
57.68	n/a	28840	dot_no5_OFF	25	n/a	n/a	8
59.002	n/a	29501	dot_no2_ON	12	n/a	n/a	8
59.59	n/a	29795	dot_no2_OFF	22	n/a	n/a	8
60.912	n/a	30456	dot_no7_ON	17	n/a	n/a	8
61.502	n/a	30751	dot_no7_OFF	27	1-6-3-7-3-7-3-7-3-7	1-6-4-2-7-3-8-5-2-7	8
116.614	n/a	58307	learningBlock_2	32	n/a	n/a	8
116.622	n/a	58311	dot_no1_ON	11	n/a	n/a	8
117.202	n/a	58601	dot_no1_OFF	21	n/a	n/a	8
118.522	n/a	59261	dot_no6_ON	16	n/a	n/a	8
119.102	n/a	59551	dot_no6_OFF	26	n/a	n/a	8
120.424	n/a	60212	dot_no4_ON	14	n/a	n/a	8
121.002	n/a	60501	dot_no4_OFF	24	n/a	n/a	8
122.324	n/a	61162	dot_no2_ON	12	n/a	n/a	8
122.914	n/a	61457	dot_no2_OFF	22	n/a	n/a	8
124.234	n/a	62117	dot_no7_ON	17	n/a	n/a	8
124.814	n/a	62407	dot_no7_OFF	27	n/a	n/a	8
126.134	n/a	63067	dot_no3_ON	13	n/a	n/a	8
126.724	n/a	63362	dot_no3_OFF	23	n/a	n/a	8
128.044	n/a	64022	dot_no8_ON	18	n/a	n/a	8
128.624	n/a	64312	dot_no8_OFF	28	n/a	n/a	8
129.944	n/a	64972	dot_no5_ON	15	n/a	n/a	8
130.524	n/a	65262	dot_no5_OFF	25	n/a	n/a	8
131.844	n/a	65922	dot_no2_ON	12	n/a	n/a	8
132.424	n/a	66212	dot_no2_OFF	22	n/a	n/a	8
133.744	n/a	66872	dot_no7_ON	17	n/a	n/a	8
134.334	n/a	67167	dot_no7_OFF	27	1-6-7-3-2-4-7-3-7-3	1-6-4-2-7-3-8-5-2-7	8
177.516	n/a	88758	learningBlock_3	33	n/a	n/a	8
177.524	n/a	88762	dot_no1_ON	11	n/a	n/a	8
178.104	n/a	89052	dot_no1_OFF	21	n/a	n/a	8
179.426	n/a	89713	dot_no6_ON	16	n/a	n/a	8
180.004	n/a	90002	dot_no6_OFF	26	n/a	n/a	8
